,ligand,ligand_complex,ligand_means,ligand_props,receptor,receptor_complex,receptor_means,receptor_props,source,target,lr_means,cellphone_pvals
2297,Col4a1,Col4a1,1.3895754,0.5832274459974587,Cd47,Cd47,0.21893188,0.12596082320852964,Immune cells,Adipocytes,0.80425364,1.0
3043,Lamc1,Lamc1,1.1016828,0.5095049177617985,Itgb1,Itga7_Itgb1,0.50673586,0.262406015037594,Adipocytes,Adipocytes_2,0.80420935,1.0
5879,Lamc1,Lamc1,1.3827269,0.5909774436090226,Cd44,Cd44,0.22459666,0.12452350698856417,Adipocytes_2,Immune cells,0.80366176,0.0
1972,App,App,1.2620152,0.5607901479461113,Aplp2,Aplp2,0.3451086,0.19724770642201836,Adipocytes,Adipocytes,0.8035619,1.0
10445,Adam12,Adam12,0.8959668,0.4037593984962406,Sdc4,Sdc4,0.7099722,0.36451612903225805,Adipocytes_2,SMCs & Pericytes,0.8029695,0.0
4855,Col4a1,Col4a1,1.3134139,0.5572519083969466,Itga9,Itga9_Itgb1,0.29238114,0.13321995464852607,Mesothelium,Endothelial cells,0.8028975,0.853
10316,App,App,1.2620152,0.5607901479461113,Notch2,Notch2,0.34262422,0.19516129032258064,Adipocytes,SMCs & Pericytes,0.8023197,0.982
3105,Psap,Psap,0.8846769,0.44900404992148113,Ar,Ar,0.71978706,0.3233082706766917,Adipocytes,Adipocytes_2,0.80223197,0.0
643,Lamc1,Lamc1,1.2518802,0.5702947845804989,Itga7,Itga7_Itgb1,0.3519666,0.19086021505376344,Endothelial cells,ASPC,0.8019234,0.035
9810,Vcl,Vcl,1.2497077,0.6046511627906976,Alk,Alk,0.35410607,0.18604651162790697,Neuronal-like cells,Neuronal-like cells,0.8019069,0.0
10354,App,App,1.2620152,0.5607901479461113,Aplp2,Aplp2,0.34172228,0.19838709677419356,Adipocytes,SMCs & Pericytes,0.80186874,0.983
9789,Col5a2,Col5a2,1.4219235,0.6201550387596899,Ddr1,Ddr1,0.18140543,0.10852713178294573,Neuronal-like cells,Neuronal-like cells,0.8016645,0.0
949,Sema3e,Sema3e,0.9592774,0.4580152671755725,Nrp2,Nrp2,0.64388907,0.33064516129032256,Mesothelium,ASPC,0.80158323,0.0
4698,Lamc1,Lamc1,0.9833483,0.46886912325285895,Itga6,Itga6_Itgb1,0.6197041,0.3242630385487528,Immune cells,Endothelial cells,0.8015262,0.0
599,Psap,Psap,0.8168464,0.40225563909774437,Ar,Ar,0.78614223,0.3817204301075269,Adipocytes_2,ASPC,0.8014943,0.0
11282,Vcl,Vcl,1.2028067,0.5790322580645161,Itgb5,Itgb5,0.39974752,0.22096774193548388,SMCs & Pericytes,SMCs & Pericytes,0.8012771,0.0
7334,Lamc1,Lamc1,1.3827269,0.5909774436090226,Dag1,Dag1,0.2196054,0.11450381679389313,Adipocytes_2,Mesothelium,0.8011662,0.139
4524,Lamc1,Lamc1,1.2518802,0.5702947845804989,Itga7,Itga7_Itgb1,0.349888,0.195578231292517,Endothelial cells,Endothelial cells,0.80088407,0.019
9552,Vegfa,Vegfa,1.4252745,0.5968992248062015,Cd44,Cd44,0.17645764,0.10077519379844961,Neuronal-like cells,Neuronal-like cells,0.80086607,1.0
934,Adipoq,Adipoq,1.0812136,0.5273189326556544,Adipor2,Adipor2,0.5201565,0.27956989247311825,Immune cells,ASPC,0.80068505,1.0
10854,Fbn1,Fbn1,0.51361436,0.2595419847328244,Itgb1,Itgb1,1.0875745,0.5403225806451613,Mesothelium,SMCs & Pericytes,0.80059445,0.0
4794,Igf1,Igf1,0.42772368,0.21092757306226176,Insr,Insr,1.172615,0.5521541950113379,Immune cells,Endothelial cells,0.80016935,0.7
6052,Cxcl12,Cxcl12,0.8996313,0.43197278911564624,Sdc4,Sdc4,0.7001693,0.3570520965692503,Endothelial cells,Immune cells,0.7999003,0.0
2797,Sparc,Sparc,0.64204204,0.3419354838709677,Fgfr1,Fgfr1,0.9577259,0.467311348045293,SMCs & Pericytes,Adipocytes,0.79988396,0.0
4442,Sptan1,Sptan1,0.93826944,0.4413533834586466,Ptpra,Ptpra,0.6612712,0.3543083900226757,Adipocytes_2,Endothelial cells,0.79977036,1.0
143,Col5a1,Col5a1,0.7747799,0.4018817204301075,Itga1,Itga1_Itgb1,0.8243826,0.40725806451612906,ASPC,ASPC,0.7995813,0.0
1678,Vcl,Vcl,1.2028067,0.5790322580645161,Itgb5,Itgb5,0.39611614,0.21908602150537634,SMCs & Pericytes,ASPC,0.7994614,0.0
11196,Jam3,Jam3,0.5106738,0.27903225806451615,Itgb1,Itgb1,1.0875745,0.5403225806451613,SMCs & Pericytes,SMCs & Pericytes,0.7991241,0.0
57,Col4a2,Col4a2,0.77371866,0.3736559139784946,Itga1,Itga1_Itgb1,0.8243826,0.40725806451612906,ASPC,ASPC,0.7990506,0.0
6971,Angpt1,Angpt1,0.8412472,0.385752688172043,Itgb1,Itgb1,0.7564132,0.4122137404580153,ASPC,Mesothelium,0.7988302,0.0
1375,L1cam,L1cam,0.59913117,0.31007751937984496,Egfr,Egfr,0.9976645,0.4650537634408602,Neuronal-like cells,ASPC,0.79839784,0.0
6087,App,App,1.3843783,0.6218820861678005,Lrp10,Lrp10,0.21182883,0.12325285895806862,Endothelial cells,Immune cells,0.7981036,0.0
5916,Adam12,Adam12,0.8959668,0.4037593984962406,Sdc4,Sdc4,0.7001693,0.3570520965692503,Adipocytes_2,Immune cells,0.79806805,0.0
2231,Igf1,Igf1,0.3089605,0.15532879818594103,Insr,Insr,1.2871488,0.5952971319943797,Endothelial cells,Adipocytes,0.7980547,0.905
821,Col4a1,Col4a1,1.3895754,0.5832274459974587,Itga9,Itga9_Itgb1,0.20595784,0.10752688172043011,Immune cells,ASPC,0.7977666,0.997
9006,Igf1,Igf1,0.3089605,0.15532879818594103,Igf1r,Igf1r,1.2864608,0.5813953488372093,Endothelial cells,Neuronal-like cells,0.79771066,0.0
9464,Fgf12,Fgf12,0.8901511,0.4122137404580153,Fgfr1,Fgfr1,0.7052549,0.3643410852713178,Mesothelium,Neuronal-like cells,0.797703,0.0
3400,Col4a1,Col4a1,1.3895754,0.5832274459974587,Cd47,Cd47,0.20555799,0.11203007518796992,Immune cells,Adipocytes_2,0.79756665,1.0
1692,B2m,B2m,0.86237967,0.4306451612903226,Tfrc,Tfrc,0.7322957,0.3709677419354839,SMCs & Pericytes,ASPC,0.79733765,1.0
